timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633033119809,3042,1. Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,334732,8925,1,1,null,0,68,10
1633033119869,3042,1. Open Home Page,200,OK,Editor User 1-1,text,true,,334732,8925,1,1,http://192.168.1.87/perf/,2618,0,10
1633033122920,182,2. Open Login Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,108113,2460,1,1,null,0,3,0
1633033122920,182,2. Open Login Page,200,OK,Editor User 1-1,text,true,,108113,2460,1,1,http://192.168.1.87/perf/Account/login.aspx,35,0,0
1633033123105,172,3. Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,188643,25818,1,1,null,0,1,0
1633033123105,172,3. Log into Account,200,OK,Editor User 1-1,text,true,,188643,25818,1,1,http://192.168.1.87/perf/,12,0,0
1633033123284,1051,4. Open Edit Post Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,1058957,12438,1,1,null,0,151,0
1633033123284,1051,4. Open Edit Post Page,200,OK,Editor User 1-1,text,true,,1058957,12438,1,1,http://192.168.1.87/perf/admin/app/editor/editpost.cshtml,965,0,0
1633033124487,542,5. Post the Article,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,1158,1849,1,1,null,0,2,0
1633033124489,542,5. Post the Article,201,Created,Editor User 1-1,text,true,,1158,1849,1,1,http://192.168.1.87/perf/api/posts,542,0,0
1633033125032,127,4. Open Edit Post Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,758322,12438,1,1,null,0,1,0
1633033125032,127,4. Open Edit Post Page,200,OK,Editor User 1-1,text,true,,758322,12438,1,1,http://192.168.1.87/perf/admin/app/editor/editpost.cshtml,8,0,0
1633033125160,7,5. Post the Article,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,1294,1989,1,1,null,0,1,0
1633033125161,7,5. Post the Article,201,Created,Editor User 1-1,text,true,,1294,1989,1,1,http://192.168.1.87/perf/api/posts,7,0,0
1633033125168,66,4. Open Edit Post Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,758322,12438,1,1,null,0,1,0
1633033125169,66,4. Open Edit Post Page,200,OK,Editor User 1-1,text,true,,758322,12438,1,1,http://192.168.1.87/perf/admin/app/editor/editpost.cshtml,3,0,0
1633033125236,5,5. Post the Article,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,1151,1831,1,1,null,0,0,0
1633033125236,5,5. Post the Article,201,Created,Editor User 1-1,text,true,,1151,1831,1,1,http://192.168.1.87/perf/api/posts,5,0,0
1633033125241,614,4. Open Edit Post Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,758322,12438,1,1,null,0,1,0
1633033125242,614,4. Open Edit Post Page,200,OK,Editor User 1-1,text,true,,758322,12438,1,1,http://192.168.1.87/perf/admin/app/editor/editpost.cshtml,527,0,0
1633033125856,4,5. Post the Article,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,959,1622,1,1,null,0,1,0
1633033125857,4,5. Post the Article,201,Created,Editor User 1-1,text,true,,959,1622,1,1,http://192.168.1.87/perf/api/posts,4,0,0
1633033125861,989,4. Open Edit Post Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor User 1-1,,true,,758322,12438,1,1,null,0,0,0
1633033125861,989,4. Open Edit Post Page,200,OK,Editor User 1-1,text,true,,758322,12438,1,1,http://192.168.1.87/perf/admin/app/editor/editpost.cshtml,900,0,0
