timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1635078618155,426,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,318709,9719,2,2,null,0,2047,7
1635078620201,426,Open Home Page,200,OK,Editor script 1-1,text,true,,318709,9719,2,2,http://192.168.1.87/blog/,18,0,7
1635078620149,157,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,153087,9719,3,3,null,0,2426,2
1635078622575,157,Open Home Page,200,OK,Editor script 1-2,text,true,,153087,9719,3,3,http://192.168.1.87/blog/,9,0,2
1635078620628,131,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,173292,25934,3,3,null,0,2248,0
1635078622874,131,Log into Account,200,OK,Editor script 1-1,text,true,,173292,25934,3,3,http://192.168.1.87/blog/,6,0,0
1635078622145,170,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,153052,9719,4,4,null,0,2078,2
1635078624222,170,Open Home Page,200,OK,Editor script 1-3,text,true,,153052,9719,4,4,http://192.168.1.87/blog/,15,0,2
1635078622731,164,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,161569,25935,4,4,null,0,2386,0
1635078625117,164,Log into Account,200,OK,Editor script 1-2,text,true,,161569,25935,4,4,http://192.168.1.87/blog/,7,0,0
1635078623006,120,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,154834,24888,4,4,null,0,2225,2
1635078625229,120,Open Predefined Date,200,OK,Editor script 1-1,text,true,,154834,24888,4,4,http://192.168.1.87/blog/2021/06/18/default,11,0,2
1635078624144,158,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,153043,9719,5,5,null,0,2005,2
1635078626149,158,Open Home Page,200,OK,Editor script 1-4,text,true,,153043,9719,5,5,http://192.168.1.87/blog/,8,0,2
1635078624393,166,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-3,,true,,161633,25934,5,5,null,0,2212,0
1635078626605,166,Log into Account,200,OK,Editor script 1-3,text,true,,161633,25934,5,5,http://192.168.1.87/blog/,7,0,0
1635078625352,758,Open Post,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,157412,26140,6,6,null,0,2085,3
1635078627436,758,Open Post,200,OK,Editor script 1-1,text,true,,157412,26140,6,6,http://192.168.1.87/blog/post/1IMHZ-bzMXkRmX10n7J2-RUyH2-fkkR1,53,0,3
1635078625281,613,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,154826,24888,6,6,null,0,2397,0
1635078627678,613,Open Predefined Date,200,OK,Editor script 1-2,text,true,,154826,24888,6,6,http://192.168.1.87/blog/2021/06/18/default,291,0,0
1635078626308,196,Log into Account,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-4,,true,,161818,25935,6,6,null,0,2209,0
1635078628517,196,Log into Account,200,OK,Editor script 1-4,text,true,,161818,25935,6,6,http://192.168.1.87/blog/,6,0,0
1635078626143,196,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-5,,true,,153143,9719,6,6,null,0,2401,0
